"OGT group abbrevations: E:Eukaryotes,BM:Bacterial mesophilic, THP:Thermophilic, and AM:Archaea mesophilic",,,,,,,,,,
species,Observed OGT group,Predicted_probability of OGT group,,,,Predicted OGT group,Methods,Obseved Species Kingdom,Observed OGT,Observed OGT group
Caloramator proteoclasticus DSM 10124,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Candidatus Rhabdochlamydia porcellionis,BM,0,1,0,0,BM,KNN,Bacteria,25,Mesophiles
Carboxydothermus ferrireducens DSM 11255,THP,0,0,0,1,THP,KNN,Bacteria,65,Hyperthermophiles
Carboxydothermus pertinax,THP,0,0,0,1,THP,KNN,Bacteria,65,Hyperthermophiles
Chaetomium globosum CBS 148.51,E,0,0,1,0,E,KNN,Eukaryota,26,Mesophiles
Clostridium saccharoperbutylacetonicum N1-4(HMT),BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Coprothermobacter platensis DSM 11748,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Corallococcus coralloides DSM 2259,BM,0,0.6,0,0.4,BM,KNN,Bacteria,30,Mesophiles
Cryobacterium roopkundense,BM,0,1,0,0,BM,KNN,Bacteria,15,Mesophiles
Cryobacterium soli,BM,0,0.666666667,0,0.333333333,BM,KNN,Bacteria,15,Mesophiles
Daejeonella rubra,BM,0,1,0,0,BM,KNN,Bacteria,15,Mesophiles
Deferribacter autotrophicus,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Deferrisoma camini S3R1,THP,0,0,0,1,THP,KNN,Bacteria,50,Thermophiles
Deinococcus marmoris DSM 12784,BM,0,0.142857143,0,0.857142857,THP,KNN,Bacteria,15,Mesophiles
Delftia lacustris,BM,0,1,0,0,BM,KNN,Bacteria,24,Mesophiles
Desulfohalotomaculum alkaliphilum DSM 12257,THP,0,0.2,0,0.8,THP,KNN,Bacteria,50,Thermophiles
Desulfonema limicola,BM,0,0.333333333,0,0.666666667,THP,KNN,Bacteria,30,Mesophiles
Desulfotomaculum nigrificans DSM 574,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Desulfurispora thermophila DSM 16022,THP,0,0,0,1,THP,KNN,Bacteria,50,Thermophiles
Desulfurococcus mucosus DSM 2162,THP,0,0,0,1,THP,KNN,Archaea,85,Hyperthermophiles
Dictyostelium discoideum AX4,E,0,0,1,0,E,KNN,Eukaryota,24,Mesophiles
Fervidobacterium nodosum Rt17-B1,THP,0,0,0,1,THP,KNN,Bacteria,70,Hyperthermophiles
Fervidobacterium pennivorans DSM 9078,THP,0,0,0,1,THP,KNN,Bacteria,65,Hyperthermophiles
Flavobacterium faecale,BM,0,1,0,0,BM,KNN,Bacteria,18,Mesophiles
Francisella persica ATCC VR-331,BM,0,0.6,0,0.4,BM,KNN,Bacteria,34,Mesophiles
Fusarium poae,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Geobacillus jurassicus NBRC 107829,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Geobacillus kaustophilus HTA426,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Geobacillus thermocatenulatus,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Geobacillus thermodenitrificans,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Geobacillus vulcani PSS1,THP,0,0,0,1,THP,KNN,Bacteria,50,Thermophiles
Gimesia alba,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Gimesia fumaroli,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Glaciibacter superstes DSM 21135,BM,0,0.6,0,0.4,BM,KNN,Bacteria,15,Mesophiles
Haladaptatus cibarius D43,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Haloarchaeobius iranensis,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halobaculum halophilum,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halobellus rufus,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halococcus thailandensis JCM 13552,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halogeometricum pallidum JCM 14848,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halogranum rubrum,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halomicrobium katesii DSM 19301,AM,1,0,0,0,AM,KNN,Archaea,40,Mesophiles
Halomicrobium zhouii,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halopelagius longus,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halopenitus persicus,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halorhabdus rudnickae,AM,1,0,0,0,AM,KNN,Archaea,38,Mesophiles
Halorubrum depositum,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halorubrum halodurans,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halorubrum persicum,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halorussus salinus,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halosimplex halophilum,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halosimplex litoreum,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halosimplex pelagicum,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Haloterrigena longa,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Halovivax asiaticus JCM 14624,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Hanseniaspora osmophila,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Hymenobacter elongatus,BM,0,0.428571429,0,0.571428571,THP,KNN,Bacteria,15,Mesophiles
Hymenobacter lapidarius,BM,0,0.8,0,0.2,BM,KNN,Bacteria,15,Mesophiles
Ignicoccus islandicus DSM 13165,THP,0,0,0,1,THP,KNN,Archaea,90,Hyperthermophiles
Janthinobacterium lividum,BM,0,1,0,0,BM,KNN,Bacteria,25,Mesophiles
Kibdelosporangium phytohabitans,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Kosmotoga pacifica,THP,0,0,0,1,THP,KNN,Bacteria,70,Hyperthermophiles
Ktedonosporobacter rubrisoli,BM,0,0.333333333,0,0.666666667,THP,KNN,Bacteria,28,Mesophiles
Kutzneria albida DSM 43870,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Labilithrix luteola,BM,0,0.6,0,0.4,BM,KNN,Bacteria,29,Mesophiles
Laceyella sacchari,THP,0,0,0,1,THP,KNN,Bacteria,50,Thermophiles
Lachancea meyersii CBS 8951,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Marinithermus hydrothermalis DSM 14884,THP,0,0,0,1,THP,KNN,Bacteria,70,Hyperthermophiles
Marinitoga hydrogenitolerans DSM 16785,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Marinobacter psychrophilus,BM,0,1,0,0,BM,KNN,Bacteria,18,Mesophiles
Massilia psychrophila,BM,0,1,0,0,BM,KNN,Bacteria,15,Mesophiles
Meiothermus cateniformans,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Meiothermus silvanus DSM 9946,THP,0,0,0,1,THP,KNN,Bacteria,50,Thermophiles
Melittangium boletus DSM 14713,BM,0,1,0,0,BM,KNN,Bacteria,29,Mesophiles
Mesorhizobium opportunistum WSM2075,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Metallosphaera cuprina Ar-4,THP,0,0,0,1,THP,KNN,Archaea,65,Hyperthermophiles
Methanimicrococcus blatticola,AM,0.833333333,0,0,0.166666667,AM,KNN,Archaea,35,Mesophiles
Methanobacterium formicicum,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanobacterium petrolearium,AM,1,0,0,0,AM,KNN,Archaea,35,Mesophiles
Methanobrevibacter boviskoreani JH1,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanobrevibacter ruminantium M1,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanocaldococcus bathoardescens,THP,0,0,0,1,THP,KNN,Archaea,80,Hyperthermophiles
Methanocella conradii HZ254,THP,1,0,0,0,AM,KNN,Archaea,50,Thermophiles
Methanocella paludicola SANAE,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanococcoides burtonii DSM 6242,AM,1,0,0,0,AM,KNN,Archaea,21,Mesophiles
Methanococcus voltae,AM,1,0,0,0,AM,KNN,Archaea,30,Mesophiles
Methanohalophilus mahii DSM 5219,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanolacinia paynteri,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanolacinia petrolearia DSM 11571,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanolobus profundi,AM,1,0,0,0,AM,KNN,Archaea,30,Mesophiles
Methanolobus psychrotolerans,AM,1,0,0,0,AM,KNN,Archaea,35,Mesophiles
Methanosarcina acetivorans C2A,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanosarcina flavescens,AM,0.4,0,0,0.6,THP,KNN,Archaea,45,Mesophiles
Methanosarcina mazei Go1,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanosarcina spelaei,AM,0.8,0,0,0.2,AM,KNN,Archaea,29,Mesophiles
Methanosarcina vacuolata Z-761,AM,0.75,0,0,0.25,AM,KNN,Archaea,37,Mesophiles
Methanospirillum hungatei JF-1,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanothrix soehngenii GP6,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Methanothrix thermoacetophila PT,THP,1,0,0,0,AM,KNN,Archaea,55,Thermophiles
Microlunatus soli,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Micromonospora coriariae,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Micromonospora inositola,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Micromonospora viridifaciens,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Murdochiella vaginalis,BM,0,0.6,0,0.4,BM,KNN,Bacteria,37,Mesophiles
Mycobacterium vicinigordonae,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Mycolicibacterium aichiense,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Mycolicibacterium arabiense,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Mycolicibacterium smegmatis,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Mycoplasma crocodyli MP145,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Mycoplasma feriruminatoris,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Mycoplasma nasistruthionis,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Mycoplasmopsis bovigenitalium,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Mycoplasmopsis californica,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Mycoplasmopsis pulmonis,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Myroides profundi,BM,0,1,0,0,BM,KNN,Bacteria,18,Mesophiles
Nannizzia gypsea CBS 118893,E,0,0,1,0,E,KNN,Eukaryota,24,Mesophiles
Natrarchaeobaculum aegyptiacum,THP,1,0,0,0,AM,KNN,Archaea,55,Thermophiles
Natrialba aegyptia DSM 13077,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Natrinema salaciae,AM,1,0,0,0,AM,KNN,Archaea,45,Mesophiles
Niastella koreensis GR20-10,BM,0,1,0,0,BM,KNN,Bacteria,26,Mesophiles
Nitrospirillum amazonense CBAmc,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Nocardia brasiliensis,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Nocardia yunnanensis,BM,0,0.6,0,0.4,BM,KNN,Bacteria,28,Mesophiles
Nonomuraea coxensis DSM 45129,BM,0,0.8,0,0.2,BM,KNN,Bacteria,29,Mesophiles
Oceanithermus profundus DSM 14977,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Ogataea parapolymorpha DL-1,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Ogataea polymorpha,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Paenibacillus dendritiformis,BM,0,0.4,0,0.6,THP,KNN,Bacteria,37,Mesophiles
Paenibacillus odorifer,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Paludibaculum fermentans,BM,0,0.2,0,0.8,THP,KNN,Bacteria,25,Mesophiles
Paraburkholderia acidiphila,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Paraburkholderia atlantica,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Paraburkholderia caffeinilytica,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Parageobacillus thermoglucosidasius,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Paraglaciecola psychrophila 170,BM,0,0.4,0,0.6,THP,KNN,Bacteria,15,Mesophiles
Pedobacter psychrophilus,BM,0,1,0,0,BM,KNN,Bacteria,16,Mesophiles
Penicillium expansum,E,0,0,1,0,E,KNN,Eukaryota,24,Mesophiles
Penicillium subrubescens,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Petrotoga halophila DSM 16923,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Petrotoga mexicana DSM 14811,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Petrotoga sibirica DSM 13575,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Phytohabitans suffuscus,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Planifilum fulgidum,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Pleurotus pulmonarius,E,0,0,1,0,E,KNN,Eukaryota,22,Mesophiles
Polaribacter pacificus,BM,0,1,0,0,BM,KNN,Bacteria,16,Mesophiles
Protomyces lactucae-debilis,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Pseudomonas asplenii,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Pseudomonas monsensis,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Pseudomonas silesiensis,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Pseudomonas vancouverensis,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Pseudorhodoplanes sinuspersici,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Pseudothermotoga lettingae TMO,THP,0,0,0,1,THP,KNN,Bacteria,65,Hyperthermophiles
Psychrobacillus insolitus,BM,0,0,0,1,THP,KNN,Bacteria,15,Mesophiles
Psychrobacter glacincola,BM,0,1,0,0,BM,KNN,Bacteria,15,Mesophiles
Purpureocillium lilacinum,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Pyrobaculum arsenaticum DSM 13514,THP,0,0,0,1,THP,KNN,Archaea,95,Hyperthermophiles
Pyrodictium occultum,THP,0,0,0,1,THP,KNN,Archaea,95,Hyperthermophiles
Ralstonia insidiosa,BM,0,0.6,0,0.4,BM,KNN,Bacteria,28,Mesophiles
Rhizobium bangladeshense,BM,0,1,0,0,BM,KNN,Bacteria,29,Mesophiles
Rhizobium esperanzae,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Rhodococcus erythropolis R138,BM,0,1,0,0,BM,KNN,Bacteria,29,Mesophiles
Rhodothermus marinus DSM 4252,THP,0,0,0,1,THP,KNN,Bacteria,67,Hyperthermophiles
Rhodotorula diobovata,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Roseovarius indicus,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Saccharomyces paradoxus,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Saccharothrix espanaensis DSM 44229,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Salinadaptatus halalkaliphilus,AM,1,0,0,0,AM,KNN,Archaea,37,Mesophiles
Sandarakinorhabdus limnophila DSM 17366,BM,0,1,0,0,BM,KNN,Bacteria,15,Mesophiles
Scardovia inopinata JCM 12537,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Schizosaccharomyces cryophilus OY26,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Schizosaccharomyces octosporus yFS286,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Shewanella halifaxensis HAW-EB4,BM,0,1,0,0,BM,KNN,Bacteria,15,Mesophiles
Siminovitchia thermophila,THP,0,0,0,1,THP,KNN,Bacteria,50,Thermophiles
Sinorhizobium fredii CCBAU 25509,BM,0,1,0,0,BM,KNN,Bacteria,25,Mesophiles
Spirochaeta thermophila DSM 6578,THP,0,0.4,0,0.6,THP,KNN,Bacteria,65,Hyperthermophiles
Spiroplasma alleghenense,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Spiroplasma apis B31,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Spirosoma aerolatum,BM,0,0.8,0,0.2,BM,KNN,Bacteria,25,Mesophiles
Spirosoma endbachense,BM,0,0.8,0,0.2,BM,KNN,Bacteria,25,Mesophiles
Stieleria neptunia,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Streptobacillus moniliformis DSM 12112,BM,0,0,0,1,THP,KNN,Bacteria,37,Mesophiles
Streptomyces alboniger,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Streptomyces angustmyceticus,BM,0,1,0,0,BM,KNN,Bacteria,29,Mesophiles
Streptomyces atratus,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Streptomyces aurantiacus,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Streptomyces clavuligerus,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Streptomyces davaonensis JCM 4913,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Streptomyces griseus subsp. griseus NBRC 13350,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Streptomyces rectiverticillatus,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Symbiobacterium thermophilum IAM 14863,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Tepidibacter thalassicus DSM 15285,THP,0,0.166666667,0,0.833333333,THP,KNN,Bacteria,50,Thermophiles
Tepidiphilus succinatimandens,THP,0,0.2,0,0.8,THP,KNN,Bacteria,55,Thermophiles
Thalassomonas viridans,BM,0,0.666666667,0,0.333333333,BM,KNN,Bacteria,25,Mesophiles
Thermacetogenium phaeum DSM 12270,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Thermaerobacter marianensis DSM 12885,THP,0,0.4,0,0.6,THP,KNN,Bacteria,75,Hyperthermophiles
Thermoactinomyces vulgaris,THP,0,0,0,1,THP,KNN,Bacteria,50,Thermophiles
Thermoanaerobacter kivui,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Thermoanaerobacterium butyriciformans,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Thermoanaerobaculum aquaticum,THP,0,0,0,1,THP,KNN,Bacteria,60,Thermophiles
Thermocladium modestius,THP,0,0,0,1,THP,KNN,Archaea,75,Hyperthermophiles
Thermoclostridium caenicola,THP,0,0.142857143,0,0.857142857,THP,KNN,Bacteria,56,Thermophiles
Thermoclostridium stercorarium subsp. stercorarium DSM 8532,THP,0,0.4,0,0.6,THP,KNN,Bacteria,60,Thermophiles
Thermodesulfobacterium geofontis OPF15,THP,0,0,0,1,THP,KNN,Bacteria,80,Hyperthermophiles
Thermodesulfobacterium hydrogeniphilum,THP,0,0,0,1,THP,KNN,Bacteria,70,Hyperthermophiles
Thermodesulfobium acidiphilum,THP,0,0.428571429,0,0.571428571,THP,KNN,Bacteria,55,Thermophiles
Thermodesulfovibrio thiophilus DSM 17215,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Thermogymnomonas acidicola,THP,1,0,0,0,AM,KNN,Archaea,60,Thermophiles
Thermomonospora amylolytica,BM,0,1,0,0,BM,KNN,Bacteria,45,Mesophiles
Thermonema lapsum,THP,0,0.2,0,0.8,THP,KNN,Bacteria,60,Thermophiles
Thermosipho japonicus,THP,0,0,0,1,THP,KNN,Bacteria,70,Hyperthermophiles
Thermosulfurimonas dismutans,THP,0,0,0,1,THP,KNN,Bacteria,70,Hyperthermophiles
Thermosynechococcus elongatus PKUAC-SCTE542,THP,0,0.4,0,0.6,THP,KNN,Bacteria,50,Thermophiles
Thermotoga maritima MSB8,THP,0,0,0,1,THP,KNN,Bacteria,80,Hyperthermophiles
Thermovenabulum gondwanense,THP,0,0,0,1,THP,KNN,Bacteria,65,Hyperthermophiles
Thermus antranikianii DSM 12462,THP,0,0,0,1,THP,KNN,Bacteria,70,Hyperthermophiles
Thermus scotoductus,THP,0,0,0,1,THP,KNN,Bacteria,65,Hyperthermophiles
Thiomicrorhabdus arctica DSM 13458,BM,0,0.8,0,0.2,BM,KNN,Bacteria,15,Mesophiles
Torulaspora delbrueckii,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Torulaspora globosa,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Trichophyton equinum CBS 127.97,E,0,0,1,0,E,KNN,Eukaryota,30,Mesophiles
Trichophyton interdigitale,E,0,0,1,0,E,KNN,Eukaryota,30,Mesophiles
Uncinocarpus reesii 1704,E,0,0,1,0,E,KNN,Eukaryota,24,Mesophiles
Ureibacillus thermophilus,THP,0,0.142857143,0,0.857142857,THP,KNN,Bacteria,50,Thermophiles
Ustilago hordei,E,0,0,1,0,E,KNN,Eukaryota,24,Mesophiles
Verticillium nonalfalfae,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Vibrio penaeicida,BM,0,0.6,0,0.4,BM,KNN,Bacteria,22,Mesophiles
Wallemia mellicola CBS 633.66,E,0,0,1,0,E,KNN,Eukaryota,22,Mesophiles
Weissella viridescens,BM,0,0.8,0,0.2,BM,KNN,Bacteria,30,Mesophiles
Westerdykella ornata,E,0,0,1,0,E,KNN,Eukaryota,24,Mesophiles
Wickerhamiella sorbophila,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Wickerhamomyces ciferrii,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Zygosaccharomyces parabailii,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Zygosaccharomyces rouxii,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Absidia repens,E,0,0,1,0,E,DT,Eukaryota,24,Mesophiles
Achromobacter spanius,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,37,Mesophiles
Acidianus brierleyi,THP,0.871724138,0,0,0.128275862,AM,DT,Archaea,72,Hyperthermophiles
Acidilobus saccharovorans 345-15,THP,0.871724138,0,0,0.128275862,AM,DT,Archaea,80,Hyperthermophiles
Acremonium chrysogenum ATCC 11550,E,0,0,1,0,E,DT,Eukaryota,22,Mesophiles
Actinotignum urinale,BM,0,0.813084112,0,0.186915888,BM,DT,Bacteria,37,Mesophiles
Alicyclobacillus herbarius DSM 13609,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,55,Thermophiles
Alicyclobacillus mali NBRC 102425,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,50,Thermophiles
Alternaria alternata,E,0,0,1,0,E,DT,Eukaryota,26,Mesophiles
Amycolatopsis mediterranei RB,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,28,Mesophiles
Amycolatopsis roodepoortensis,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,28,Mesophiles
Anaerolinea thermolimosa,THP,0,0.813084112,0,0.186915888,BM,DT,Bacteria,50,Thermophiles
Anoxybacillus tepidamans,THP,0,0.850894632,0,0.149105368,BM,DT,Bacteria,53,Thermophiles
Anoxybacillus vitaminiphilus,THP,0,0.850894632,0,0.149105368,BM,DT,Bacteria,55,Thermophiles
Archaeoglobus veneficus SNP6,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Archaea,75,Hyperthermophiles
Ardenticatena maritima,THP,0,0.813084112,0,0.186915888,BM,DT,Bacteria,65,Hyperthermophiles
Aspergillus ellipticus CBS 707.79,E,0,0,1,0,E,DT,Eukaryota,24,Mesophiles
Aspergillus ibericus CBS 121593,E,0,0,1,0,E,DT,Eukaryota,25,Mesophiles
Aspergillus japonicus CBS 114.51,E,0,0,1,0,E,DT,Eukaryota,25,Mesophiles
Aspergillus lentulus,E,0,0,1,0,E,DT,Eukaryota,25,Mesophiles
Aspergillus thermomutatus,E,0,0,1,0,E,DT,Eukaryota,25,Mesophiles
Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,17,Mesophiles
Bacillus thuringiensis serovar berliner ATCC 10792,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,30,Mesophiles
Bacillus toyonensis,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,30,Mesophiles
Bartonella alsatica,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,37,Mesophiles
Bartonella ancashensis,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,30,Mesophiles
Bartonella bovis 91-4,BM,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,37,Mesophiles
Beauveria brongniartii RCEF 3172,E,0,0,1,0,E,DT,Eukaryota,25,Mesophiles
Bifiguratus adelaidae,E,0,0,1,0,E,DT,Eukaryota,25,Mesophiles
Bradyrhizobium erythrophlei,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,28,Mesophiles
Bradyrhizobium guangxiense,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,28,Mesophiles
Brevibacillus brevis,BM,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,30,Mesophiles
Brockia lithotrophica,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,63,Hyperthermophiles
Burkholderia gladioli,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,30,Mesophiles
Burkholderia lata,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,29,Mesophiles
Burkholderia metallica,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,28,Mesophiles
Burkholderia oklahomensis C6786,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,32,Mesophiles
Burkholderia plantarii,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,30,Mesophiles
Burkholderia territorii,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,30,Mesophiles
Calderihabitans maritimus,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,65,Hyperthermophiles
Caldicellulosiruptor acetigenus DSM 7040,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,70,Hyperthermophiles
Caldicellulosiruptor obsidiansis OB47,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,75,Hyperthermophiles
Caldichromatium japonicum,THP,0,0.850894632,0,0.149105368,BM,DT,Bacteria,50,Thermophiles
Caldilinea aerophila DSM 14535 = NBRC 104270,THP,0,0.813084112,0,0.186915888,BM,DT,Bacteria,55,Thermophiles
Caloramator proteoclasticus DSM 10124,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,55,Thermophiles
Candidatus Rhabdochlamydia porcellionis,BM,0,0.850894632,0,0.149105368,BM,DT,Bacteria,25,Mesophiles
Carboxydothermus ferrireducens DSM 11255,THP,0,0.065359477,0.010893246,0.923747277,THP,DT,Bacteria,65,Hyperthermophiles
